x,y,z,r,g,b
-1.57346,-0.81621,-0.052175,1.0,0.0695667,0.0
-1.57141,-0.812172,-0.04552,1.0,0.0606933,0.0
-1.57614,-0.819173,-0.050875,1.0,0.0678333,0.0
-1.57063,-0.815838,-0.05249,1.0,0.0699867,0.0
-1.58594,-0.813545,-0.044565,1.0,0.05942,0.0
-1.5831,-0.81675,-0.04507,1.0,0.0600933,0.0
-1.57184,-0.811776,-0.04612,1.0,0.0614933,0.0
-1.57306,-0.812455,-0.047655,1.0,0.06354,0.0
-1.57605,-0.820185,-0.044155,1.0,0.0588733,0.0
-1.57726,-0.818879,-0.038305,1.0,0.0510733,0.0
-1.58709,-0.819086,-0.044705,1.0,0.0596067,0.0
-1.57012,-0.812527,-0.0497,1.0,0.0662667,0.0
-1.58078,-0.813323,-0.04637,1.0,0.0618267,0.0
-1.58445,-0.809564,-0.04557,1.0,0.06076,0.0
-1.58015,-0.814817,-0.049765,1.0,0.0663533,0.0
-1.58171,-0.815649,-0.047185,1.0,0.0629133,0.0
-1.57403,-0.815484,-0.04462,1.0,0.0594933,0.0
-1.58037,-0.813685,-0.04762,1.0,0.0634933,0.0
-1.57568,-0.824205,-0.048835,1.0,0.0651133,0.0
-1.57538,-0.816532,-0.051795,1.0,0.06906,0.0
-1.56933,-0.812528,-0.050345,1.0,0.0671267,0.0
-1.57428,-0.820827,-0.053425,1.0,0.0712333,0.0
-1.57397,-0.819477,-0.053825,1.0,0.0717667,0.0
-1.58504,-0.809592,-0.045305,1.0,0.0604067,0.0
-1.57076,-0.812074,-0.04682,1.0,0.0624267,0.0
-1.57914,-0.818332,-0.04908,1.0,0.06544,0.0
-1.58137,-0.805629,-0.046035,1.0,0.06138,0.0
-1.57233,-0.813826,-0.04633,1.0,0.0617733,0.0
-1.58162,-0.814957,-0.04429,1.0,0.0590533,0.0
-1.58746,-0.814272,-0.04426,1.0,0.0590133,0.0
-1.57547,-0.822961,-0.0532,1.0,0.0709333,0.0
-1.57781,-0.818396,-0.04995,1.0,0.0666,0.0
-1.57975,-0.815813,-0.048415,1.0,0.0645533,0.0
-1.57395,-0.813762,-0.05186,1.0,0.0691467,0.0
-1.58499,-0.815784,-0.046365,1.0,0.06182,0.0
-1.57282,-0.815765,-0.05197,1.0,0.0692933,0.0
-1.57441,-0.82532,-0.047335,1.0,0.0631133,0.0
-1.57177,-0.813542,-0.05456,1.0,0.0727467,0.0
-1.57044,-0.815883,-0.049295,1.0,0.0657267,0.0
-1.57194,-0.814192,-0.047045,1.0,0.0627267,0.0
-1.59132,-0.813956,-0.04833,1.0,0.06444,0.0
-1.57133,-0.8139,-0.04998,1.0,0.06664,0.0
-1.56895,-0.814327,-0.05124,1.0,0.06832,0.0
-1.5828,-0.806901,-0.049825,1.0,0.0664333,0.0
-1.58066,-0.811927,-0.04712,1.0,0.0628267,0.0
