D3,density_prior1,density_prior2,density_prior3,density_prior4,posterior
2.186172344689379,0.0,0.0,0.0,0.0,0.0
2.18937875751503,0.0,0.0,0.0,0.0,0.0
2.1925851703406813,0.0,0.0,0.0,0.0,0.0
2.195791583166333,0.0,0.0,0.0,0.0,0.0
2.198997995991984,0.0,0.0,0.0,0.0,0.0
2.2022044088176354,0.0,0.0,0.0,0.0,0.0
2.2054108216432864,0.0,0.0,0.0,0.0,0.0
2.208617234468938,0.0,0.0,0.0,0.0,0.0
2.2118236472945894,0.0,0.0,0.0,0.0,0.0
2.2150300601202404,0.0,0.0,0.0,0.0,0.0
2.218236472945892,0.0,0.0,0.0,0.0,0.0
2.221442885771543,0.0,0.0,0.0,0.0,0.0
2.2246492985971944,0.0,0.0,0.0,0.0,0.0
2.227855711422846,0.0,0.0,0.0,0.0,0.0
2.231062124248497,0.0,0.0,0.0,0.0,0.0
2.2342685370741484,0.0,0.0,0.0,0.0,0.0
2.2374749498997994,0.0,0.0,0.0,0.0,0.0
2.240681362725451,0.0,0.0,0.0,0.0,0.0
2.2438877755511024,0.0,0.0,0.0,0.0,0.0
2.2470941883767535,0.0,0.0,0.0,0.0,0.0
2.250300601202405,0.0,0.0,0.0,0.0,0.0
2.253507014028056,0.0,0.0,0.0,0.0,0.0
2.2567134268537075,0.0,0.0,0.0,0.0,0.0
2.259919839679359,0.0,0.0,0.0,0.0,0.0
2.26312625250501,0.0,0.0,0.0,0.0,0.0
2.2663326653306615,0.0,0.0,0.0,0.0,0.0
2.2695390781563125,0.0,0.0,0.0,0.0,0.0
2.272745490981964,0.0,0.0,0.0,0.0,0.0
2.2759519038076155,0.0,0.0,0.0,0.0,0.0
2.2791583166332665,0.0,0.0,0.0,0.0,0.0
2.282364729458918,0.0,0.0,0.0,0.0,0.0
2.285571142284569,0.0,0.0,0.0,0.0,0.0
2.2887775551102205,0.0,0.0,0.0,0.0,0.0
2.291983967935872,0.0,0.0,0.0,0.0,0.0
2.295190380761523,0.0,0.0,0.0,0.0,0.0
2.298396793587174,0.0,0.0,0.0,0.0,0.0
2.3016032064128256,0.0,0.0,0.0,0.0,0.0
2.304809619238477,0.0,0.0,0.0,0.0,0.0
2.3080160320641285,0.0,0.0,0.0,0.0,0.0
2.3112224448897796,0.0,0.0,0.0,0.0,0.0
2.3144288577154306,0.0,0.0,0.0,0.0,0.0
2.317635270541082,0.0,0.0,0.0,0.0,0.0
2.3208416833667336,0.0,0.0,0.0,0.0,0.0
2.3240480961923846,0.0,0.0,0.0,0.0,0.0
2.327254509018036,0.0,0.0,0.0,0.0,0.0
2.330460921843687,0.0,0.0,0.0,0.0,0.0
2.3336673346693386,0.0,0.0,0.0,0.0,0.0
2.33687374749499,0.0,0.0,0.0,0.0,0.0
2.340080160320641,0.0,0.0,0.0,0.0,0.0
2.3432865731462926,0.0,0.0,0.0,0.0,0.0
2.3464929859719437,0.0,0.0,0.0,0.0,0.0
2.349699398797595,0.0,0.0,0.0,0.0,0.0
2.3529058116232466,0.0,0.0,0.0,0.0,0.0
2.3561122244488977,0.0,0.0,0.0,0.0,0.0
2.359318637274549,0.0,0.0,0.0,0.0,0.0
2.3625250501002,0.0,0.0,0.0,0.0,0.0
2.3657314629258517,0.0,0.0,0.0,0.0,0.0
2.368937875751503,0.0,0.0,0.0,0.0,0.0
2.372144288577154,0.0,0.0,0.0,0.0,0.0
2.3753507014028057,0.0,0.0,0.0,0.0,0.0
2.3785571142284567,0.0,0.0,0.0,0.0,0.0
2.381763527054108,0.0,0.0,0.0,0.0,0.0
2.3849699398797597,0.0,0.0,0.0,0.0,0.0
2.3881763527054107,0.0,0.0,0.0,0.0,0.0
2.391382765531062,0.0,0.0,0.0,0.0,0.0
2.3945891783567133,0.0,0.0,0.0,0.0,0.0
2.3977955911823647,0.0,0.0,0.0,0.0,0.0
2.401002004008016,0.0,0.0,0.0,0.0,0.0
2.4042084168336673,0.0,0.0,0.0,0.0,0.0
2.4074148296593187,0.0,0.0,0.0,0.0,0.0
2.41062124248497,0.0,0.0,0.0,0.0,0.0
2.4138276553106213,0.0,0.0,0.0,0.0,0.0
2.4170340681362728,0.0,0.0,0.0,0.0,0.0
2.420240480961924,0.0,0.0,0.0,0.0,0.0
2.4234468937875753,0.0,0.0,0.0,0.0,0.0
2.4266533066132263,0.0,0.0,0.0,0.0,0.0
2.429859719438878,0.0,0.0,0.0,0.0,0.0
2.4330661322645293,0.0,0.0,0.0,0.0,0.0
2.4362725450901803,0.0,0.0,0.0,0.0,0.0
